Date,Count
04/16/2025,"4,059,487"
04/15/2025,"3,997,927"
04/14/2025,"3,598,255"
04/13/2025,"2,180,093"
04/12/2025,"2,528,127"
04/11/2025,"3,864,826"
04/10/2025,"4,299,477"
04/09/2025,"4,343,794"
04/08/2025,"4,324,220"
04/07/2025,"3,848,628"
04/06/2025,"2,059,867"
04/05/2025,"2,658,935"
04/04/2025,"3,990,036"
04/03/2025,"4,286,943"
04/02/2025,"4,320,984"
04/01/2025,"4,247,056"
03/31/2025,"3,414,357"
03/30/2025,"2,055,899"
03/29/2025,"2,887,283"
03/28/2025,"3,878,481"
03/27/2025,"4,263,378"
03/26/2025,"4,237,196"
03/25/2025,"4,214,256"
03/24/2025,"3,650,582"
03/23/2025,"2,007,695"
03/22/2025,"2,653,512"
03/21/2025,"3,873,120"
03/20/2025,"4,191,910"
03/19/2025,"4,274,997"
03/18/2025,"4,232,297"
03/17/2025,"3,751,313"
03/16/2025,"2,111,229"
03/15/2025,"2,686,698"
03/14/2025,"3,926,685"
03/13/2025,"4,265,918"
03/12/2025,"4,273,439"
03/11/2025,"4,220,071"
03/10/2025,"3,849,712"
03/09/2025,"1,991,779"
03/08/2025,"2,662,053"
03/07/2025,"3,877,969"
03/06/2025,"4,177,390"
03/05/2025,"4,139,402"
03/04/2025,"4,178,706"
03/03/2025,"3,783,633"
03/02/2025,"1,943,509"
03/01/2025,"2,655,494"
02/28/2025,"3,867,670"
02/27/2025,"4,123,434"
02/26/2025,"4,202,962"
02/25/2025,"4,094,456"
02/24/2025,"3,722,403"
02/23/2025,"1,905,750"
02/22/2025,"2,492,096"
02/21/2025,"3,481,093"
02/20/2025,"3,822,211"
02/19/2025,"3,830,039"
02/18/2025,"3,698,061"
02/17/2025,"2,458,343"
02/16/2025,"1,809,213"
02/15/2025,"2,355,977"
02/14/2025,"3,855,445"
02/13/2025,"4,098,104"
02/12/2025,"3,940,993"
02/11/2025,"4,111,749"
02/10/2025,"3,746,029"
02/09/2025,"1,850,257"
02/08/2025,"2,538,395"
02/07/2025,"3,861,700"
02/06/2025,"3,885,191"
02/05/2025,"4,182,058"
02/04/2025,"4,150,390"
02/03/2025,"3,695,940"
02/02/2025,"1,848,424"
02/01/2025,"2,483,263"
01/31/2025,"3,624,121"
01/30/2025,"4,088,389"
01/29/2025,"3,735,444"
01/28/2025,"4,057,100"
01/27/2025,"3,612,704"
01/26/2025,"1,882,291"
01/25/2025,"2,486,799"
01/24/2025,"3,584,146"
01/23/2025,"3,870,712"
01/22/2025,"3,745,833"
01/21/2025,"3,624,134"
01/20/2025,"2,216,281"
01/19/2025,"1,828,934"
01/18/2025,"2,336,087"
01/17/2025,"3,604,425"
01/16/2025,"3,919,882"
01/15/2025,"3,927,198"
01/14/2025,"3,901,919"
01/13/2025,"3,565,093"
01/12/2025,"1,832,507"
01/11/2025,"2,333,104"
01/10/2025,"3,561,095"
01/09/2025,"3,757,580"
01/08/2025,"3,834,806"
01/07/2025,"3,784,051"
01/06/2025,"3,437,198"
01/05/2025,"1,791,537"
01/04/2025,"2,315,791"
01/03/2025,"3,413,456"
01/02/2025,"3,377,364"
01/01/2025,"1,779,501"
12/31/2024,"2,874,166"
12/30/2024,"3,316,046"
12/29/2024,"2,122,120"
12/28/2024,"2,268,511"
12/27/2024,"3,161,486"
12/26/2024,"2,852,679"
12/25/2024,"1,378,374"
12/24/2024,"2,546,394"
12/23/2024,"3,216,875"
12/22/2024,"2,061,173"
12/21/2024,"2,645,323"
12/20/2024,"3,842,344"
12/19/2024,"4,255,466"
12/18/2024,"4,292,792"
12/17/2024,"4,341,385"
12/16/2024,"3,866,550"
12/15/2024,"2,337,436"
12/14/2024,"3,123,454"
12/13/2024,"4,178,812"
12/12/2024,"4,527,892"
12/11/2024,"4,255,328"
12/10/2024,"4,374,063"
12/09/2024,"3,941,361"
12/08/2024,"2,348,950"
12/07/2024,"3,017,208"
12/06/2024,"4,121,085"
12/05/2024,"4,354,863"
12/04/2024,"4,374,883"
12/03/2024,"4,240,442"
12/02/2024,"3,813,795"
12/01/2024,"1,893,492"
11/30/2024,"2,319,981"
11/29/2024,"2,677,499"
11/28/2024,"1,513,447"
11/27/2024,"3,710,430"
11/26/2024,"4,030,009"
11/25/2024,"3,914,213"
11/24/2024,"2,075,015"
11/23/2024,"2,720,244"
11/22/2024,"3,854,860"
11/21/2024,"4,217,744"
11/20/2024,"4,298,945"
11/19/2024,"4,277,932"
11/18/2024,"3,900,958"
11/17/2024,"2,101,806"
11/16/2024,"2,789,132"
11/15/2024,"3,986,526"
11/14/2024,"4,296,568"
11/13/2024,"4,331,024"
11/12/2024,"4,263,199"
11/11/2024,"3,277,617"
11/10/2024,"2,117,144"
11/09/2024,"2,770,474"
